Producto,Nombre,Descripcion,medidas,material,empaque,Impresion,Colores,precio_unitario,precio_mayorista,precio_cliente,precio_promocion7,precio_cliente_mayorista
RLIBRO1,Reconocimiento Libro,Reconocimiento de acrilico grabado en base de madera con clipo. 19 X 24 CM,19x24 cm,Acrilico,1,Grabado,Verde,$480.00,$480.00,$576.00,$576.00,$576.00
RCL101,Reconocimiento Corte Láser,"Reconocimiento de acrilico cortado en laser con impresión adherida en vinil en el fondo y una placa de aluminio impreso, clipo oculto con diametro de aluminio impreso y base de madera entintada No Size CM",0 cm,Acrilico,1,Serigrafia,Blanco,$650.00,$650.00,$780.00,$780.00,$780.00
RCL201,Reconocimiento Corte Láser,"Reconocimiento de acrilico cortado en laser con impresión adherida en vinil en el fondo y una placa de aluminio impreso, clipo cuadrado y base de madera entintada. No Size CM",0 cm,Acrilico,1,Serigrafia,Multicolor,$650.00,$650.00,$780.00,$780.00,$780.00
RCL301,Reconocimiento Corte Láser,"Reconocimiento de acrilico cortado en laser con impresión adherida en vinil en el fondo y una placa de aluminio impreso, clipo cuadrado y base de madera entintada. No Size CM",0 cm,Acrilico,1,Serigrafia,Multicolor,$650.00,$650.00,$780.00,$780.00,$780.00
RCL411,Reconocimiento Corte Láser,Reconocimiento tipo mundi con diametro de cristal claro y laca de aluminio sublimadamontada en base alta de madera y placa de aluminio impreso con contorno Maria Luisa. 19 X 32 CM,19x32 cm,Cristal Claro,1,Serigrafia,Multicolor,$650.00,$650.00,$780.00,$780.00,$780.00
RCL401,Reconocimiento Corte Láser,Reconocimiento de corte de acrilico con placa de aluminio impreso montado en base de madera alta con placa de aluminio impreso y contorno María Luisa  CM,0 cm,Acrilico y aluminio,1,Serigrafia,Multicolor,$650.00,$650.00,$780.00,$780.00,$780.00
RCL501,Reconocimiento Corte Láser,"Reconcoimiento en corte de acrilico con aluminio impreso, contorno maria luisa, fondo en vinil, base de madera y clipo cubierto por diametro e aluminio encapsulado  CM",0 cm,Acrilico y aluminio,1,Serigrafia,Multicolor,$650.00,$650.00,$780.00,$780.00,$780.00
RCL521,Reconocimiento Corte Láser,Figura de acrlicio en corte láser con forma piramidal y placa de aluminio en ambos frentes. 20 X 15 CM,20x15 cm,Acrilico y aluminio,1,Serigrafia,Multicolor,$650.00,$650.00,$780.00,$780.00,$780.00
RCL601,Reconocimiento Corte Láser,Figura corte láser con clipo en base de madera con impresión en Aluminio 20 X 31 CM,20x31 cm,Aluminio,1,Serigrafia,Multicolor,$650.00,$650.00,$780.00,$780.00,$780.00
RCL701,Reconocimiento Corte Láser,Reconocimiento figura de MDF corte láser con impresión de Aluminio y clipo sobre base de madera 20 X 28 CM,20x28 cm,MDF,1,Serigrafia,Multicolor,$650.00,$650.00,$780.00,$780.00,$780.00
MACRI,Medallas,Medalla de acrilico grabado 6 Diámetro Pieza,6 cm diam.,Acrilico,1,Grabado,Multicolor,$60.00,$50.00,$72.00,$60.00,$60.00
MCRIS-2,Medallas,Medalla de cristal reflecta con aluminio sublimado encapsulado 7.5 cm Diámetro Pieza,7.5 cm diam.,Cristal Reflecta y aluminio,1,Sublimado,Blanco,$60.00,$50.00,$72.00,$60.00,$60.00
MCRIS-1 ,Medallas,Medalla de cristal claro grabado 7.5 cm Diámetro Pieza,7.5 cm diam.,Cristal claro,1,Grabado,Blanco,$60.00,$50.00,$72.00,$60.00,$60.00
MREX,Medallas,Moneda en metal rex en color dorado 4.5 cm Diámetro aprox Pieza,4.5 cm diam.,Metal rex,1,Grabado,Dorado,$0.00,,$0.00,$0.00,$0.00
PERLA,Medallas,Medalla de zamac con centro de aluminio sublimado encapsulado 7.5 cm Diámetro Pieza,7.5 cm diam.,Zamac y aluminio,1,Sublimado,Multicolor,$60.00,$35.00,$72.00,$42.00,$42.00
LUZ,Medallas,Medalla de zamac con centro de aluminio sublimado encapsulado  Pieza,7.5 cm diam.,Zamac y aluminio,1,Sublimado,Multicolor,$60.00,$35.00,$72.00,$42.00,$42.00
LLAMA,Medallas,Medalla de zamac con centro de aluminio sublimado encapsulado  Pieza,7.5 cm diam.,Zamac y aluminio,1,Sublimado,Multicolor,$60.00,$35.00,$72.00,$42.00,$42.00
MZAP,Medallas,"Medalla en zamac personalizada  Pieza ($2,000 pilotaje)",7.5 cm diam.,Zamac,1,Fundido,Bronce,$35.00,$35.00,$42.00,$42.00,$42.00
MACE+CAJA,Medallas,Medalla de acero color Plata en caja de mdf entintada oro viejo y forro de terciopelo interior en el area de la moneda  Pieza,0 cm,Acero,1,Fundido,Plateado,"$1,200.00","$1,000.00","$1,440.00","$1,200.00","$1,200.00"
MLATE+CAJA,Medallas,Medalla de acero color Plata en caja de mdf entintada oro viejo y forro de terciopelo interior en el area de la moneda.  Pieza,0 cm,Acero,1,Fundido,Plateado,"$1,200.00","$1,000.00","$1,440.00","$1,200.00","$1,200.00"
MONREX,Medallas,Moneda troquelada en Metal rex.  Pieza,NA,Metal rex,1,Fundido,Dorado,$0.00,,$0.00,$0.00,$0.00
TAZA SUBLIMADA,Regalo Corporativo,Taza impresa en sublimación  Pieza,NA,,1,Sublimado,Multicolor,$75.00,$90.00,$90.00,$90.00,$90.00
TERMO SUBLIMADO,Regalo Corporativo,Termo impreso en sublimación  Pieza,NA,,1,Sublimado,Multicolor,$200.00,$240.00,$240.00,$240.00,$240.00
LATA SUBLIMADA,Regalo Corporativo,Lata impresa en sublimación  Pieza,NA,,1,Sublimado,Multicolor,$70.00,$84.00,$84.00,$84.00,$84.00
FLORERO,Regalo Corporativo,Florero grabado en sand blast. No incluye vaso  Pieza,NA,,1,Sandblast,Multicolor,$1.00,$1.20,$1.20,$1.20,$1.20
RELOJ DE MANO,Regalo Corporativo,Reloj de mano grabado en punta diamante  Pieza,NA,,1,Grabado punta diamante,Multicolor,$0.00,$0.00,$0.00,$0.00,$0.00
PLUMA GRABADA,Regalo Corporativo,Pluma grabada en láser o punta diamante  Pieza,NA,,1,Grabado punta diamante,Multicolor,$100.00,$120.00,$120.00,$120.00,$120.00
TARJETERO GRABADO,Regalo Corporativo,Tarjetero grabado en punta diamante.  Pieza,NA,,1,Grabado punta diamante,Multicolor,$100.00,$120.00,$120.00,$120.00,$120.00
PIN TROQUELADO,Regalo Corporativo,Pin troquelado en metal rex  Pieza,NA,,1,Troquelado,Multicolor,$0.00,$0.00,$0.00,$0.00,$0.00
MOUSEPAD PERSONALIZADO,Regalo Corporativo,MousePad impreso por sublimación.  Pieza,NA,,1,Sublimado,Multicolor,$40.00,$48.00,$48.00,$48.00,$48.00
LLAVERO PERSONALIZADO,Regalo Corporativo,Llavero grabado en punta Diamante o con impresión  Pieza,NA,,1,Grabado punta diamante,Multicolor,$65.00,$78.00,$78.00,$78.00,$78.00
TARJETERO CON PORTAPLUMAS,Regalo Corporativo,"Tarjetero de cristal filtrasol Grabado, cristal claro y base para pluma en filtrasol  Pieza",NA,Cristal claro,1,Grabado,Verde,$130.00,$156.00,$156.00,$156.00,$156.00
MOSAICO,Modelos Premium,"Reconocimiento de tres acrilicos, azul, negro y transparente con impresión en aluminio y diametro encapsulado.  Pieza",0 cm,Acrilico,1,Serigrafia,Multicolor,$500.00,$600.00,$600.00,$600.00,$600.00
SS,Modelos Premium,Reconocimiento de cristal reflecta con forma y grabado en acrilico ensamblados con clipo en una base de cristal reflecta.  Pieza,0 cm,Cristal reflecta,1,Serigrafia,Verde,$370.00,$444.00,$444.00,$444.00,$444.00
PRISMA,Modelos Premium,Reconocimiento rectangular de cristal de 19mm canto diamantado y grabado en base de cristal de 19mm  Pieza,0 cm,Cristal claro,1,Grabado,Verde,$500.00,$600.00,$600.00,$600.00,$600.00
GOLDEN,Modelos Premium,"Reconocimiento de cristal claro de 3 columnas una con aluminio impreso con Maria Luisa, en base de cristal y madera con 2 chapetones y una placa de aluminio grabada en la base de cristal  Pieza",0 cm,Cristal claro,1,Grabado,Verde,$700.00,$840.00,$840.00,$840.00,$840.00
TORRE DE PISA A,Modelos Premium,Reconocimiento de cristal claro de 19mm grabado con vinil en base de cristal claro de 19mm  Pieza,0 cm,Cristal claro,1,Grabado,Verde,$500.00,$600.00,$600.00,$600.00,$600.00
MODELO ANIVERSARIO,Modelos Premium,Reconocimiento modelo aniversario de cristal claro con impresión en aluminio y dos cristales claros con forma en base de cristal claro.  Pieza,0 cm,Cristal claro,1,Serigrafia,Verde,$600.00,$720.00,$720.00,$720.00,$720.00
BURBUJAS PACMAN,Modelos Premium,Diamatero de cristal claro de 19 mm con burbujas ensamblado en estructura tipo mundi color oro viejo y base de madera.  Pieza,0 cm,Cristal claro,1,Grabado,Azul,$0.00,$0.00,$0.00,$0.00,$0.00
BURBUJAS ARBOL DE LEVAS,Modelos Premium,Diamatero de cristal claro de 19 mm con burbujas ensamblado n estructura de arbol de levas automotriz y engranaje como base en terminado de elección  Pieza,0 cm,Cristal claro,1,Grabado,Azul,$0.00,$0.00,$0.00,$0.00,$0.00
BURBUJAS AUREOLA,Modelos Premium,Diamatero de cristal claro de 19 mm con burbujas ensamblado n estructura tipo mundi color oro viejo y base de madera.  Pieza,0 cm,Cristal claro,1,Grabado,Azul,$0.00,$0.00,$0.00,$0.00,$0.00
MONEDA FLOTANTE,Modelos Premium,Reconocimiento de madera de pino entintada a roble con placa de aluminio sublimado y moneda troquelada suspendida entre dos extremos redondos de la base por extensiones metalicas.  Pieza,0 cm,Madera y aluminio,1,Sublimado,Multicolor,$0.00,$0.00,$0.00,$0.00,$0.00
ÉLITE,Modelos Premium,"Reconocimiento ensambaldo en multiples elementos, con tres cortes de acrílico de 6 mm, letras 3d, elementos en aluminio sublimado y base de pino solida, soportado por contorno trasero de acero inoxidable.  Pieza",0 cm,Madera y aluminio,1,Sublimado,Multicolor,$0.00,$0.00,$0.00,$0.00,$0.00
